pro_Census Tract (2010),pro_Count Parcels,pro_Count Units,pro_Avg Living Area / Unit,pro_Avg Building Age,pro_Pct. units owner-occupied
1.0,1092,3358,2072.0,47.05,31.96
2.01,925,1794,1199.0,56.87,39.24
2.02,787,1551,1289.0,56.77,48.79
3.01,831,1455,1298.0,50.73,47.29
3.02,1077,1582,1127.0,51.94,47.26
4.01,1306,9177,290.0,58.5,26.88
4.02,1005,2074,1216.0,45.54,37.21
5.02,1102,2531,976.0,37.8,21.42
5.03,889,1538,719.0,41.35,24.18
5.04,1339,3037,826.0,37.23,28.08
6.01,912,2352,931.0,51.56,36.95
6.02,621,2698,1189.0,47.44,24.8
7.01,1043,2612,837.0,43.07,21.86
7.03,262,1809,879.0,39.54,9.92
7.04,1136,3397,743.0,43.89,17.34
8.02,1422,5369,1128.0,46.1,23.98
8.03,76,939,2207.0,35.14,10.53
101.03,188,2637,1464.0,27.83,0.0
101.04,1776,27576,103.0,30.39,17.0
102.03,884,6231,726.0,37.14,15.5
102.04,661,2631,1336.0,30.14,18.31
103.0,247,1536,3895.0,28.39,12.15
104.03,506,2588,730.0,20.44,18.38
104.04,769,2934,795.0,28.69,12.74
104.05,420,2063,1116.0,30.64,9.05
104.08,291,1089,600.0,26.18,22.68
105.0,511,3488,1090.0,28.01,29.55
106.0,790,4660,3522.0,19.24,31.9
107.01,1131,2770,1085.0,27.28,29.09
107.02,1592,2965,2111.0,25.75,29.84
108.01,1694,2314,1007.0,28.22,35.83
108.02,1855,2511,963.0,30.36,31.0
201.01,2194,3841,1030.0,30.73,38.56
202.0,1251,3463,575.0,33.61,29.58
203.01,924,17804,171.0,30.43,19.05
203.02,607,1246,1027.0,29.64,32.78
203.03,1430,23490,353.0,22.62,22.94
301.0,637,1932,642.0,32.47,30.93
302.0,551,2084,560.0,22.77,21.6
303.0,2219,8304,2784.0,30.96,33.3
304.0,983,3556,530.0,24.39,24.72
305.0,1249,2690,658.0,32.41,41.63
401.0,1252,2218,976.0,31.21,50.8
402.0,359,1252,547.0,33.68,55.71
403.0,1826,2641,980.0,37.18,56.46
404.01,876,2761,483.0,33.11,50.68
406.0,1623,4493,1164.0,32.38,44.24
408.01,1073,3405,1322.0,19.5,50.23
501.01,785,1915,1018.0,68.16,45.22
502.0,931,2469,901.0,56.68,39.85
503.0,224,2290,853.0,45.64,24.55
504.0,589,1593,748.0,46.42,34.13
505.0,364,1049,1185.0,40.92,29.67
506.0,437,1727,627.0,46.82,28.15
507.0,838,2252,769.0,58.8,36.04
509.01,832,3203,660.0,64.71,39.06
510.0,890,2456,1211.0,64.91,52.13
511.01,1342,3271,941.0,58.48,52.91
512.0,847,2711,647.0,44.41,39.91
601.01,1486,1973,1131.0,34.0,46.77
602.0,818,1176,1066.0,39.65,48.66
603.01,1428,2165,1072.0,38.33,47.13
604.0,1984,3227,979.0,39.82,46.37
605.01,2258,3132,1007.0,27.47,39.81
606.0,1682,10324,1676.0,16.84,31.09
607.0,6,394,447.0,43.5,0.0
608.0,2276,3399,904.0,33.07,39.28
610.0,538,1516,599.0,33.54,47.4
611.01,32,1112,141.0,51.09,12.5
612.0,2553,6417,1569.0,23.79,38.9
701.01,4160,18861,2153.0,14.09,23.94
702.0,607,8546,808.0,20.84,23.39
703.0,2203,4516,1452.0,22.53,43.35
704.02,304,2237,1255.0,5.84,23.68
705.0,2444,4297,746.0,22.81,44.52
706.0,1179,1783,989.0,23.73,49.45
707.0,992,2749,1180.0,21.75,44.76
708.0,1397,3363,628.0,24.35,39.44
709.0,998,2798,610.0,24.74,42.38
711.01,1306,6000,697.0,22.57,40.35
712.01,1240,12437,289.0,16.9,34.92
801.0,755,3515,1308.0,56.03,17.75
803.0,406,2119,691.0,46.56,30.79
804.01,366,3745,523.0,23.96,21.86
805.0,193,1873,332.0,50.62,24.35
806.01,386,3768,1176.0,28.34,21.5
808.01,121,2123,908.0,36.83,0.0
809.0,470,2010,1220.0,49.6,19.15
810.01,769,6506,1105.0,36.4,21.59
811.0,924,3316,778.0,39.78,42.1
812.0,377,1951,496.0,47.86,43.77
813.0,604,3976,647.0,39.82,28.15
814.0,1131,5575,410.0,36.63,31.83
815.0,592,2664,497.0,42.62,42.4
817.0,638,2864,726.0,50.28,39.18
818.0,732,2875,731.0,53.61,40.44
819.0,546,2312,754.0,56.15,36.08
820.0,596,2762,854.0,64.78,43.62
821.0,401,2584,848.0,50.14,37.41
901.0,736,3188,777.0,65.05,41.03
902.0,325,1706,861.0,44.04,33.85
903.0,588,3298,631.0,52.35,34.52
904.0,868,4625,394.0,47.7,35.48
906.0,654,3481,401.0,53.55,31.5
907.0,1358,3730,1119.0,44.0,39.91
909.01,30,574,3899.0,34.8,0.0
910.01,1017,3128,1136.0,46.12,45.13
911.0,1281,2492,1092.0,52.33,52.77
912.0,728,1665,1173.0,58.66,52.88
913.0,494,2485,622.0,53.97,39.07
914.0,552,2359,624.0,60.7,45.65
915.0,906,2181,998.0,47.15,50.66
916.0,670,1615,1093.0,53.99,38.96
917.0,523,1382,1028.0,65.72,49.14
918.0,697,2226,867.0,61.8,45.62
919.0,758,3265,609.0,62.2,43.14
920.0,864,2985,963.0,69.58,51.5
921.01,1700,4250,997.0,47.64,46.82
922.0,795,2027,1162.0,66.86,60.75
923.0,610,2059,791.0,59.69,49.02
924.0,801,3964,701.0,59.51,39.2
1001.0,850,3893,659.0,51.81,41.41
1002.0,621,2225,646.0,55.52,44.77
1003.0,810,2508,772.0,58.49,52.72
1004.0,990,2174,1241.0,63.85,63.64
1005.0,1350,4204,838.0,58.5,45.48
1006.01,1446,2550,1103.0,52.95,58.37
1006.03,871,2604,799.0,42.48,47.99
1007.0,1499,3454,916.0,54.79,62.04
1008.0,1658,4004,895.0,52.82,64.23
1009.0,1273,2458,1026.0,51.67,65.04
1010.01,1591,7813,379.0,60.32,52.86
1010.02,918,2806,866.0,56.63,62.42
1011.01,605,1466,1250.0,67.1,55.04
1011.02,761,2576,1016.0,62.27,43.63
1101.03,1549,3764,790.0,47.65,49.32
1102.01,461,1212,762.0,53.59,55.75
1103.01,916,1676,950.0,47.92,63.54
1104.01,997,2101,864.0,52.61,61.48
1104.03,1418,2564,963.0,56.61,72.28
1105.01,1103,1535,1281.0,54.74,71.44
1105.02,1301,2334,1090.0,53.03,58.57
1106.01,1061,1835,1128.0,47.61,80.58
1106.07,1899,3658,966.0,51.06,62.51
1201.03,681,974,1496.0,37.0,64.9
1201.04,850,1345,840.0,35.97,51.65
1201.05,1017,1466,1820.0,40.3,75.42
1202.01,1164,3057,938.0,39.69,48.54
1203.01,1503,5771,542.0,42.2,49.7
1204.0,2303,5430,821.0,35.29,55.84
1205.0,631,1452,821.0,37.07,43.9
1206.0,828,1778,838.0,41.25,53.5
1207.0,537,1802,901.0,38.08,46.93
1301.0,2747,5269,782.0,48.79,67.31
1302.0,1741,2584,1444.0,56.56,71.86
1303.0,1731,2464,1400.0,53.32,73.95
1304.02,1985,3095,1270.0,48.75,63.02
1304.04,1634,9790,181.0,44.92,41.92
1304.06,832,3285,520.0,44.14,61.06
1401.02,1720,4053,838.0,46.88,59.83
1401.05,1173,2925,610.0,57.43,71.44
1401.06,107,748,1207.0,55.54,56.07
1401.07,792,2143,650.0,61.64,66.16
1402.01,580,1931,968.0,59.0,55.34
1402.02,1510,2689,1065.0,59.64,74.7
1403.0,1588,4722,968.0,57.82,57.3
1404.0,2402,4676,808.0,57.71,64.32
9801.01,27,777,51.0,86.5,0.0
9803.0,6,46,2374.0,118.0,0.0
9807.0,28,706,53.0,109.0,0.0
9810.0,13,278,96.0,93.0,0.0
9811.0,71,979,379.0,31.61,23.94
9812.01,19,209,397.0,92.86,0.0
9812.02,102,1575,3396.0,37.62,0.0
9813.0,332,2332,115.0,15.78,46.08
9815.01,12,130,545.0,37.8,0.0
9815.02,3,13,30174.0,23.5,0.0
9816.0,9,102,458.0,13.25,0.0
9817.0,7,7,50000.0,67.0,0.0
9818.0,11,126,126.0,53.5,0.0
9901.01,2,30,0.0,,0.0
