str_Census Tract (2010),str_Status: Active (count),str_Status: Expired (count),str_Status: Inactive (count),str_Status: Revoked (count),str_Status: Void (count),str_Count open violations,str_Count violations/past 6 mos.
1.0,10,0,10,0,4,9,0
2.01,6,0,5,0,0,0,0
2.02,1,1,2,0,2,1,0
3.01,4,0,2,0,2,2,1
3.02,5,0,12,0,2,0,0
4.01,5,0,6,0,2,0,4
4.02,7,1,10,0,1,0,0
5.02,1,0,0,0,0,0,0
5.03,0,0,0,0,1,0,0
5.04,2,0,5,0,0,0,0
6.01,5,0,2,0,2,5,1
6.02,2,0,3,0,0,2,0
7.01,7,0,9,0,3,0,0
7.03,0,0,0,0,1,0,0
7.04,1,0,6,0,2,0,0
8.02,12,0,9,0,6,25,3
101.03,1,0,0,0,0,0,0
101.04,5,0,6,0,0,0,0
102.03,3,0,1,0,0,0,0
102.04,2,0,3,0,0,0,1
104.03,3,0,6,0,0,2,4
104.04,3,0,4,0,1,2,2
104.05,1,0,0,0,0,0,0
105.0,9,0,4,0,2,1,1
106.0,2,0,2,0,0,0,1
107.01,5,0,2,0,0,2,0
107.02,2,0,3,0,1,6,0
108.01,4,0,7,0,4,0,0
108.02,3,0,3,0,3,31,0
201.01,11,0,19,0,0,7,7
202.0,7,0,11,0,5,5,6
203.01,0,0,0,0,1,0,0
203.02,21,0,24,0,0,7,0
203.03,2,0,2,0,1,0,0
301.0,2,0,12,0,3,15,7
302.0,6,0,3,0,4,60,5
303.0,3,1,15,0,3,1,5
304.0,8,0,7,0,0,12,4
305.0,1,0,3,0,1,0,1
401.0,11,0,8,0,3,8,2
402.0,3,0,2,0,1,2,0
403.0,16,0,8,0,4,7,9
404.01,2,0,0,0,0,1,0
406.0,12,0,11,0,2,7,3
408.01,3,0,1,0,0,0,0
501.01,5,0,10,0,2,29,0
502.0,13,0,9,0,1,11,3
503.0,2,0,0,0,1,7,0
504.0,11,0,14,0,3,6,0
505.0,3,0,1,0,1,7,1
506.0,3,0,4,0,1,1,0
507.0,6,0,6,0,4,6,0
509.01,8,0,14,0,5,17,0
510.0,7,0,3,0,1,2,0
511.01,13,0,8,0,2,2,1
512.0,8,0,14,0,6,44,2
601.01,3,0,0,0,2,0,0
602.0,9,0,9,1,2,0,3
603.01,4,0,1,0,3,2,0
604.0,11,1,10,0,2,29,1
605.01,24,0,9,0,3,10,0
606.0,9,0,7,0,0,6,3
608.0,12,0,9,0,5,24,19
610.0,5,0,2,0,2,6,0
612.0,9,0,14,0,1,4,1
701.01,14,0,6,0,3,1,3
702.0,12,0,11,0,2,6,5
703.0,20,0,14,0,4,57,7
704.02,0,0,1,0,0,0,0
705.0,20,0,20,0,4,4,3
706.0,12,0,16,0,5,9,0
707.0,31,0,32,0,0,2,0
708.0,7,0,13,0,5,0,3
709.0,2,0,5,0,4,0,1
711.01,6,0,5,0,5,0,1
712.01,2,0,0,0,0,0,0
801.0,5,0,7,0,0,0,0
803.0,1,0,1,0,1,6,2
804.01,2,0,0,0,0,0,0
805.0,0,0,2,0,1,0,1
806.01,0,0,1,0,0,0,0
808.01,0,0,1,0,0,0,0
809.0,4,0,12,0,2,3,0
810.01,1,0,4,0,2,14,2
811.0,4,0,4,0,3,2,0
812.0,8,0,4,0,3,6,4
813.0,4,0,1,0,2,2,0
814.0,24,0,21,0,5,1,1
815.0,6,0,0,0,2,44,0
817.0,4,0,2,0,1,0,0
818.0,5,0,3,0,1,1,1
819.0,3,0,2,0,1,15,0
820.0,4,0,1,0,0,0,0
821.0,8,0,7,0,1,29,3
901.0,3,0,3,0,2,0,0
902.0,1,0,2,0,1,0,0
903.0,1,0,0,0,0,0,0
904.0,5,0,16,0,3,39,37
906.0,4,0,1,0,0,0,0
907.0,11,0,16,0,3,8,3
909.01,0,0,1,0,0,0,0
910.01,14,0,12,0,3,4,0
911.0,15,0,9,0,1,5,8
912.0,4,0,6,0,1,5,2
913.0,0,0,1,0,1,0,0
914.0,5,0,3,0,1,0,0
915.0,7,0,5,0,2,3,0
916.0,2,0,0,0,0,0,0
917.0,5,0,2,0,0,1,0
918.0,3,0,8,0,3,0,0
919.0,3,0,1,0,1,0,0
920.0,6,1,0,0,1,7,0
921.01,8,0,2,0,0,5,0
922.0,10,0,7,0,0,0,3
923.0,2,0,3,0,1,32,2
924.0,3,0,4,0,0,1,0
1001.0,0,0,1,0,2,0,0
1002.0,1,0,0,0,0,0,0
1003.0,0,0,1,0,0,0,0
1004.0,8,0,6,0,3,2,0
1005.0,7,0,6,0,1,7,0
1006.01,5,0,5,0,0,3,0
1006.03,2,0,2,0,0,0,0
1007.0,2,0,2,0,3,0,0
1008.0,6,0,6,0,1,1,1
1009.0,8,0,4,0,2,0,0
1010.01,3,0,3,0,1,1,0
1010.02,1,0,2,0,1,0,0
1011.01,2,0,4,0,3,0,0
1011.02,1,0,1,0,2,39,0
1101.03,13,0,4,0,3,0,2
1102.01,2,0,0,0,0,0,0
1103.01,4,0,3,0,1,0,0
1104.01,4,0,1,0,0,0,0
1104.03,6,0,2,0,3,7,0
1105.01,3,0,6,0,0,0,0
1105.02,9,0,2,0,0,0,0
1106.01,4,0,4,0,0,0,0
1106.07,5,0,4,0,0,0,0
1201.03,10,0,5,0,0,1,0
1201.04,9,0,6,0,3,0,2
1201.05,7,0,3,0,2,0,0
1202.01,8,0,4,0,3,0,0
1203.01,17,0,9,0,5,4,0
1204.0,32,1,16,0,5,3,0
1205.0,6,0,9,0,1,2,0
1206.0,13,0,11,0,2,0,1
1207.0,1,0,1,0,0,0,0
1301.0,3,1,6,0,0,0,0
1302.0,5,0,5,0,0,1,0
1303.0,5,0,2,0,0,0,0
1304.02,6,0,0,0,2,0,2
1304.04,1,0,1,0,0,0,0
1304.06,1,0,0,0,0,0,0
1401.02,0,0,0,0,2,1,0
1401.05,4,0,10,0,1,1,0
1401.06,1,0,6,0,1,0,0
1401.07,1,0,1,0,2,0,0
1402.01,3,0,0,0,0,0,0
1402.02,2,3,0,0,0,0,0
1403.0,2,0,0,0,2,1,0
1404.0,5,0,2,0,3,5,0
