air_scraped,air_Neighborhood,air_Count Listings,air_Sum Accomodations,air_Count Licensed,air_Count Exempt,air_Pct. Licensed,air_Pct. License Exempt,air_Avg. Reviews/Listing,air_Unique Hosts (count),air_Med. Host Distance (km.),air_Med. Price,air_Avg. Price,air_Avg. Avlblty / Next 30d
2015-10-03,Allston,127,319,0,0,0.0,0.0,9.98,86,6.21,95.0,117.69,7.55
2015-10-03,Back Bay,205,593,0,0,0.0,0.0,10.35,150,2.67,210.0,248.67,7.67
2015-10-03,Bay Village,12,38,0,0,0.0,0.0,14.42,9,1.56,172.0,279.42,8.75
2015-10-03,Beacon Hill,146,393,0,0,0.0,0.0,16.78,102,0.94,186.5,217.35,6.3
2015-10-03,Brighton,123,339,0,0,0.0,0.0,13.39,92,7.92,99.0,117.91,7.62
2015-10-03,Charlestown,67,216,0,0,0.0,0.0,22.19,59,2.06,198.0,228.36,7.39
2015-10-03,Chinatown,26,93,0,0,0.0,0.0,12.69,21,1.37,262.5,277.69,7.96
2015-10-03,Dorchester,163,418,0,0,0.0,0.0,26.31,93,5.87,75.0,104.72,8.75
2015-10-03,Downtown,99,305,0,0,0.0,0.0,14.05,68,0.82,239.0,238.87,9.11
2015-10-03,East Boston,88,247,0,0,0.0,0.0,26.26,65,2.88,105.0,131.59,8.86
2015-10-03,Fenway,174,507,0,0,0.0,0.0,8.01,111,4.13,200.0,256.34,14.1
2015-10-03,Hyde Park,21,59,0,0,0.0,0.0,7.86,12,13.29,65.0,104.71,13.33
2015-10-03,Jamaica Plain,236,747,0,0,0.0,0.0,21.81,192,6.88,110.0,142.83,7.48
2015-10-03,Leather District,6,23,0,0,0.0,0.0,26.5,5,1092.77,464.5,431.33,23.33
2015-10-03,Longwood Medical Area,6,17,0,0,0.0,0.0,25.0,5,4.48,130.0,131.83,6.83
2015-10-03,Mattapan,17,46,0,0,0.0,0.0,14.82,10,9.18,69.0,82.71,19.76
2015-10-03,Mission Hill,61,143,0,0,0.0,0.0,15.43,45,5.24,103.0,140.44,8.95
2015-10-03,North End,104,326,0,0,0.0,0.0,23.12,74,0.8,189.5,194.38,5.88
2015-10-03,Roslindale,50,129,0,0,0.0,0.0,21.8,36,10.25,76.5,93.12,9.38
2015-10-03,Roxbury,112,333,0,0,0.0,0.0,21.77,65,4.5,110.0,148.13,9.02
2015-10-03,South Boston,114,375,0,0,0.0,0.0,19.93,95,3.25,165.0,191.62,6.81
2015-10-03,South Boston Waterfront,37,124,0,0,0.0,0.0,8.92,25,307.05,255.0,310.16,8.57
2015-10-03,South End,251,726,0,0,0.0,0.0,13.2,158,2.8,190.0,216.96,7.0
2015-10-03,West End,40,113,0,0,0.0,0.0,10.0,23,0.87,200.0,236.98,12.58
2015-10-03,West Roxbury,13,41,0,0,0.0,0.0,21.38,12,12.96,100.0,120.0,10.69
2016-09-07,Allston,239,595,0,0,0.0,0.0,11.99,154,6.26,80.0,108.03,5.54
2016-09-07,Back Bay,297,969,0,0,0.0,0.0,14.72,176,2.66,210.0,242.79,9.41
2016-09-07,Bay Village,24,85,0,0,0.0,0.0,10.04,17,1.52,206.5,266.83,10.33
2016-09-07,Beacon Hill,191,546,0,0,0.0,0.0,21.21,137,0.9,195.0,225.82,5.1
2016-09-07,Brighton,179,490,0,0,0.0,0.0,16.68,140,7.92,90.0,119.39,7.8
2016-09-07,Charlestown,88,292,0,0,0.0,0.0,21.34,74,2.1,197.0,212.81,6.59
2016-09-07,Chinatown,71,265,0,0,0.0,0.0,9.42,28,2184.05,219.0,232.35,17.73
2016-09-07,Dorchester,255,675,0,0,0.0,0.0,28.63,136,6.93,75.0,93.03,8.15
2016-09-07,Downtown,170,619,0,0,0.0,0.0,14.78,106,4.64,225.0,236.4,8.99
2016-09-07,East Boston,149,432,0,0,0.0,0.0,36.84,97,2.63,99.0,117.94,10.19
2016-09-07,Fenway,289,859,0,0,0.0,0.0,9.74,169,26.2,192.0,221.0,12.87
2016-09-07,Hyde Park,31,77,0,0,0.0,0.0,12.13,22,12.98,58.0,86.55,8.9
2016-09-07,Jamaica Plain,341,1089,0,0,0.0,0.0,26.55,268,6.94,100.0,138.59,6.66
2016-09-07,Leather District,5,14,0,0,0.0,0.0,13.8,3,0.98,245.0,253.6,11.0
2016-09-07,Longwood Medical Area,5,12,0,0,0.0,0.0,78.4,4,4.58,84.0,98.4,7.8
2016-09-07,Mattapan,29,70,0,0,0.0,0.0,14.1,15,8.77,65.0,74.52,12.59
2016-09-07,Mission Hill,119,290,0,0,0.0,0.0,12.29,81,5.08,89.0,119.69,6.58
2016-09-07,North End,142,481,0,0,0.0,0.0,31.56,105,0.81,179.5,196.18,4.9
2016-09-07,Roslindale,56,172,0,0,0.0,0.0,24.77,44,10.15,76.5,98.43,9.46
2016-09-07,Roxbury,144,461,0,0,0.0,0.0,26.92,83,4.5,100.0,147.76,9.71
2016-09-07,South Boston,174,607,0,0,0.0,0.0,22.13,124,3.24,150.0,187.61,7.95
2016-09-07,South Boston Waterfront,83,306,0,0,0.0,0.0,8.96,51,306.89,245.0,306.06,13.48
2016-09-07,South End,321,932,0,0,0.0,0.0,17.56,205,2.75,183.0,205.29,6.17
2016-09-07,West End,47,182,0,0,0.0,0.0,3.32,18,2183.73,199.0,210.74,20.26
2016-09-07,West Roxbury,44,136,0,0,0.0,0.0,15.43,36,12.97,90.0,109.41,11.8
2017-10-06,Allston,290,787,0,0,0.0,0.0,16.32,184,6.42,78.0,98.58,6.17
2017-10-06,Back Bay,388,1295,0,0,0.0,0.0,22.39,218,2.65,200.0,238.69,7.98
2017-10-06,Bay Village,28,103,0,0,0.0,0.0,24.5,23,1.49,189.5,294.21,6.82
2017-10-06,Beacon Hill,262,806,0,0,0.0,0.0,27.27,174,0.89,188.5,202.85,5.35
2017-10-06,Brighton,279,778,0,0,0.0,0.0,19.33,203,8.0,80.0,107.26,7.41
2017-10-06,Charlestown,144,518,0,0,0.0,0.0,20.81,113,2.51,195.0,229.84,7.94
2017-10-06,Chinatown,122,545,0,0,0.0,0.0,7.42,32,1462.97,193.5,252.51,17.11
2017-10-06,Dorchester,381,1141,0,0,0.0,0.0,31.92,200,7.04,75.0,100.27,8.95
2017-10-06,Downtown,293,1118,0,0,0.0,0.0,20.65,153,30.87,200.0,252.63,9.58
2017-10-06,East Boston,254,807,0,0,0.0,0.0,47.94,145,2.79,98.0,117.42,7.09
2017-10-06,Fenway,329,1072,0,0,0.0,0.0,11.03,178,29.93,169.0,205.8,10.93
2017-10-06,Hyde Park,44,121,0,0,0.0,0.0,22.14,29,13.74,57.5,79.39,8.82
2017-10-06,Jamaica Plain,409,1364,0,0,0.0,0.0,33.32,306,7.09,110.0,141.51,7.34
2017-10-06,Leather District,10,31,0,0,0.0,0.0,10.2,8,1.07,257.5,248.1,11.5
2017-10-06,Longwood Medical Area,5,13,0,0,0.0,0.0,145.8,4,4.58,100.0,116.2,6.2
2017-10-06,Mattapan,43,120,0,0,0.0,0.0,23.6,18,8.91,61.0,72.05,11.67
2017-10-06,Mission Hill,131,375,0,0,0.0,0.0,11.53,86,5.38,100.0,129.37,8.93
2017-10-06,North End,200,796,0,0,0.0,0.0,43.84,117,0.8,162.5,184.52,7.17
2017-10-06,Roslindale,96,312,0,0,0.0,0.0,19.9,67,10.5,75.0,97.14,10.14
2017-10-06,Roxbury,242,796,0,0,0.0,0.0,27.55,126,4.78,90.5,127.22,9.28
2017-10-06,South Boston,261,1101,0,0,0.0,0.0,27.02,170,3.34,150.0,198.36,7.69
2017-10-06,South Boston Waterfront,65,217,0,0,0.0,0.0,13.82,40,308.8,255.0,328.06,10.83
2017-10-06,South End,347,1048,0,0,0.0,0.0,30.21,231,2.73,195.0,215.43,6.47
2017-10-06,West End,59,221,0,0,0.0,0.0,2.86,18,2183.74,184.0,232.03,16.12
2017-10-06,West Roxbury,66,205,0,0,0.0,0.0,24.36,49,12.44,90.0,123.82,10.71
2018-04-14,Allston,24,80,0,0,0.0,0.0,8.42,23,6.52,119.5,125.0,2.92
2018-04-14,Back Bay,30,113,0,0,0.0,0.0,9.27,16,304.19,240.0,243.57,16.6
2018-04-14,Brighton,34,129,0,0,0.0,0.0,17.79,28,7.39,115.0,157.74,7.59
2018-04-14,Charlestown,4,14,0,0,0.0,0.0,8.75,3,1.43,307.0,278.5,8.25
2018-04-14,Dorchester,102,520,0,0,0.0,0.0,24.53,73,5.92,132.0,145.53,9.71
2018-04-14,Downtown,12,35,0,0,0.0,0.0,4.33,10,2184.1,194.0,201.17,14.25
2018-04-14,East Boston,2,4,0,0,0.0,0.0,28.0,2,2.57,91.5,91.5,15.0
2018-04-14,Fenway,23,74,0,0,0.0,0.0,8.57,11,2180.91,129.0,145.52,20.09
2018-04-14,Jamaica Plain,52,185,0,0,0.0,0.0,9.73,14,2179.7,159.0,169.94,20.71
2018-04-14,Longwood Medical Area,1,3,0,0,0.0,0.0,2.0,1,1040.78,130.0,130.0,5.0
2018-04-14,Mattapan,5,26,0,0,0.0,0.0,19.4,5,8.98,80.0,108.2,13.0
2018-04-14,Mission Hill,102,451,0,0,0.0,0.0,4.74,35,2179.72,175.0,180.4,18.77
2018-04-14,North End,18,59,0,0,0.0,0.0,29.06,18,7.15,175.0,189.67,8.5
2018-04-14,Roxbury,110,443,0,0,0.0,0.0,22.47,70,4.84,105.0,135.26,8.7
2018-04-14,South Boston,138,767,0,0,0.0,0.0,22.44,91,3.43,196.0,242.17,12.5
2018-04-14,South Boston Waterfront,1,1,0,0,0.0,0.0,1.0,1,1.81,70.0,70.0,0.0
2018-04-14,South End,25,78,0,0,0.0,0.0,27.2,21,2.96,140.0,160.48,11.96
2018-04-14,West End,6,26,0,0,0.0,0.0,1.83,5,306.34,173.0,270.67,13.17
2018-04-15,Allston,312,895,0,0,0.0,0.0,17.3,178,6.39,80.0,115.45,9.1
2018-04-15,Back Bay,457,1531,0,0,0.0,0.0,22.27,237,2.69,199.0,251.35,10.8
2018-04-15,Bay Village,24,86,0,0,0.0,0.0,39.25,19,1.46,176.5,240.62,7.33
2018-04-15,Beacon Hill,261,814,0,0,0.0,0.0,32.4,178,0.91,179.0,201.36,7.72
2018-04-15,Brighton,319,907,0,0,0.0,0.0,20.57,210,8.08,75.0,105.26,10.72
2018-04-15,Charlestown,143,498,0,0,0.0,0.0,23.66,117,2.49,190.0,232.9,7.66
2018-04-15,Chinatown,239,925,0,0,0.0,0.0,6.9,41,2184.18,175.0,211.53,24.01
2018-04-15,Dorchester,309,848,0,0,0.0,0.0,38.51,171,7.34,70.0,84.7,13.13
2018-04-15,Downtown,349,1310,0,0,0.0,0.0,23.66,155,2183.99,199.0,258.05,12.97
2018-04-15,East Boston,292,962,0,0,0.0,0.0,47.75,173,2.74,95.5,127.84,11.47
2018-04-15,Fenway,462,1524,0,0,0.0,0.0,11.61,189,405.69,179.0,243.6,15.92
2018-04-15,Hyde Park,53,140,0,0,0.0,0.0,21.83,38,13.83,55.0,76.23,12.64
2018-04-15,Jamaica Plain,426,1446,0,0,0.0,0.0,34.38,316,7.0,100.0,137.38,8.16
2018-04-15,Leather District,8,23,0,0,0.0,0.0,9.12,6,1.01,217.5,210.25,9.5
2018-04-15,Longwood Medical Area,7,18,0,0,0.0,0.0,125.14,5,4.7,100.0,193.43,8.86
2018-04-15,Mattapan,47,132,0,0,0.0,0.0,25.45,20,9.03,60.0,69.15,15.62
2018-04-15,Mission Hill,100,271,0,0,0.0,0.0,15.73,80,5.22,73.0,98.74,7.44
2018-04-15,North End,208,882,0,0,0.0,0.0,52.94,115,0.8,150.0,176.61,9.43
2018-04-15,Roslindale,113,342,0,0,0.0,0.0,21.22,76,10.51,70.0,93.54,12.54
2018-04-15,Roxbury,154,469,0,0,0.0,0.0,36.29,100,4.74,84.0,122.14,10.97
2018-04-15,South Boston,168,566,0,0,0.0,0.0,31.46,117,3.36,135.0,169.16,11.58
2018-04-15,South Boston Waterfront,49,150,0,0,0.0,0.0,21.49,40,2.5,200.0,295.94,9.43
2018-04-15,South End,399,1211,0,0,0.0,0.0,28.83,248,2.71,176.0,214.98,9.29
2018-04-15,West End,128,415,0,0,0.0,0.0,9.3,42,306.18,168.0,192.16,18.73
2018-04-15,West Roxbury,61,199,0,0,0.0,0.0,30.97,46,12.65,90.0,119.89,13.66
2018-05-17,Allston,316,934,0,0,0.0,0.0,16.63,191,6.44,80.0,127.19,7.45
2018-05-17,Back Bay,424,1443,0,0,0.0,0.0,22.36,228,2.67,199.0,244.18,8.17
2018-05-17,Bay Village,23,89,0,0,0.0,0.0,39.65,19,1.49,175.0,238.26,4.57
2018-05-17,Beacon Hill,243,771,0,0,0.0,0.0,32.14,165,0.91,180.0,203.5,6.39
2018-05-17,Brighton,319,948,0,0,0.0,0.0,22.52,209,7.92,80.0,110.68,9.76
2018-05-17,Charlestown,137,506,0,0,0.0,0.0,25.09,112,2.35,190.0,225.71,6.33
2018-05-17,Chinatown,209,807,0,0,0.0,0.0,7.46,36,2184.18,175.0,209.72,20.81
2018-05-17,Dorchester,400,1317,0,0,0.0,0.0,32.03,213,6.91,75.0,96.42,9.6
2018-05-17,Downtown,313,1187,0,0,0.0,0.0,24.82,144,2183.99,200.0,247.12,10.39
2018-05-17,East Boston,264,888,0,0,0.0,0.0,50.44,154,2.74,95.5,119.64,8.05
2018-05-17,Fenway,444,1462,0,0,0.0,0.0,11.04,189,423.09,179.0,238.25,14.61
2018-05-17,Hyde Park,46,134,0,0,0.0,0.0,24.41,35,13.63,55.0,77.11,9.98
2018-05-17,Jamaica Plain,440,1469,0,0,0.0,0.0,31.59,311,7.15,114.5,142.23,7.88
2018-05-17,Leather District,6,16,0,0,0.0,0.0,8.5,4,1.01,212.0,205.5,8.67
2018-05-17,Longwood Medical Area,8,21,0,0,0.0,0.0,113.12,6,4.75,107.0,185.5,5.12
2018-05-17,Mattapan,55,162,0,0,0.0,0.0,23.56,27,9.03,60.0,70.35,11.38
2018-05-17,Mission Hill,174,615,0,0,0.0,0.0,9.39,84,301.06,125.0,139.77,12.18
2018-05-17,North End,198,827,0,0,0.0,0.0,56.38,114,0.85,158.5,180.71,6.48
2018-05-17,Roslindale,94,291,0,0,0.0,0.0,21.3,63,10.44,75.0,95.24,8.64
2018-05-17,Roxbury,258,841,0,0,0.0,0.0,29.64,137,4.82,80.0,119.56,9.84
2018-05-17,South Boston,288,1298,0,0,0.0,0.0,27.63,179,3.4,173.0,211.57,9.58
2018-05-17,South Boston Waterfront,41,131,0,0,0.0,0.0,19.41,33,6.04,200.0,301.68,8.95
2018-05-17,South End,357,1055,0,0,0.0,0.0,30.38,235,2.71,175.0,202.36,6.74
2018-05-17,West End,122,426,0,0,0.0,0.0,10.39,40,306.21,171.0,200.48,16.14
2018-05-17,West Roxbury,56,181,0,0,0.0,0.0,34.73,43,12.78,89.5,120.05,8.88
2018-05-18,Allston,40,93,0,0,0.0,0.0,20.98,34,6.24,59.5,82.32,5.03
2018-05-18,Back Bay,36,129,0,0,0.0,0.0,27.58,33,2.73,206.5,269.33,9.25
2018-05-18,Bay Village,2,11,0,0,0.0,0.0,37.5,2,2044.39,249.5,249.5,1.0
2018-05-18,Beacon Hill,23,64,0,0,0.0,0.0,34.96,22,0.86,160.0,192.22,4.0
2018-05-18,Brighton,34,80,0,0,0.0,0.0,16.76,31,8.93,70.0,109.41,6.0
2018-05-18,Charlestown,16,49,0,0,0.0,0.0,12.12,16,25.89,187.5,219.75,6.88
2018-05-18,Chinatown,26,97,0,0,0.0,0.0,7.96,10,2184.19,182.0,225.96,23.27
2018-05-18,Dorchester,45,147,0,0,0.0,0.0,51.16,37,7.19,70.0,100.0,12.02
2018-05-18,Downtown,41,156,0,0,0.0,0.0,17.49,26,2184.02,182.0,226.12,9.85
2018-05-18,East Boston,29,82,0,0,0.0,0.0,59.79,27,2.93,115.0,229.41,8.31
2018-05-18,Fenway,41,130,0,0,0.0,0.0,13.51,30,302.59,169.0,222.1,12.49
2018-05-18,Hyde Park,5,9,0,0,0.0,0.0,13.6,5,50.03,51.0,62.2,15.6
2018-05-18,Jamaica Plain,55,212,0,0,0.0,0.0,30.69,48,7.18,128.0,144.38,7.33
2018-05-18,Leather District,1,4,0,0,0.0,0.0,21.0,1,1.14,190.0,190.0,3.0
2018-05-18,Mattapan,5,12,0,0,0.0,0.0,34.0,5,9.18,75.0,75.0,13.8
2018-05-18,Mission Hill,29,125,0,0,0.0,0.0,13.34,22,5.57,148.0,139.28,12.76
2018-05-18,North End,21,83,0,0,0.0,0.0,43.86,15,0.77,139.0,138.67,3.81
2018-05-18,Roslindale,17,43,0,0,0.0,0.0,21.12,17,10.53,65.0,74.94,7.76
2018-05-18,Roxbury,28,97,0,0,0.0,0.0,25.18,26,4.89,100.0,116.39,5.71
2018-05-18,South Boston,22,78,0,0,0.0,0.0,34.59,19,3.5,138.5,179.68,8.32
2018-05-18,South Boston Waterfront,7,16,0,0,0.0,0.0,35.14,7,2.4,160.0,168.57,4.29
2018-05-18,South End,38,140,0,0,0.0,0.0,47.5,34,2.4,197.5,253.82,6.26
2018-05-18,West End,16,64,0,0,0.0,0.0,3.25,9,1.09,250.0,279.44,21.81
2018-05-18,West Roxbury,6,18,0,0,0.0,0.0,3.5,6,11.74,104.0,98.83,14.0
2018-05-19,Allston,1,2,0,0,0.0,0.0,6.0,1,2178.66,70.0,70.0,13.0
2018-05-19,Back Bay,1,2,0,0,0.0,0.0,25.0,1,1.84,150.0,150.0,0.0
2018-05-19,Fenway,1,4,0,0,0.0,0.0,3.0,1,3.56,250.0,250.0,0.0
2018-05-19,Jamaica Plain,1,4,0,0,0.0,0.0,1.0,1,6.92,250.0,250.0,0.0
2018-05-19,Mission Hill,1,1,0,0,0.0,0.0,1.0,1,4097.18,50.0,50.0,0.0
2018-05-19,Roslindale,1,4,0,0,0.0,0.0,37.0,1,10.51,120.0,120.0,2.0
2018-05-19,South End,1,6,0,0,0.0,0.0,29.0,1,2.99,250.0,250.0,8.0
2018-07-18,Allston,378,1085,0,0,0.0,0.0,18.79,210,6.46,80.0,156.16,5.64
2018-07-18,Back Bay,451,1531,0,0,0.0,0.0,26.38,232,2.65,200.0,249.76,7.24
2018-07-18,Bay Village,25,98,0,0,0.0,0.0,45.16,20,1.48,175.0,225.0,3.72
2018-07-18,Beacon Hill,263,812,0,0,0.0,0.0,32.1,170,0.91,175.0,193.7,6.12
2018-07-18,Brighton,366,1090,0,0,0.0,0.0,23.22,237,8.09,85.0,111.08,7.33
2018-07-18,Charlestown,149,552,0,0,0.0,0.0,26.28,116,2.43,189.0,223.21,5.91
2018-07-18,Chinatown,199,751,0,0,0.0,0.0,9.05,37,2184.18,191.0,236.83,16.89
2018-07-18,Dorchester,487,1623,0,0,0.0,0.0,36.75,235,7.02,75.0,102.29,8.92
2018-07-18,Downtown,358,1349,0,0,0.0,0.0,26.69,153,2184.0,200.0,252.94,9.94
2018-07-18,East Boston,289,967,0,0,0.0,0.0,54.08,172,2.78,99.0,120.9,7.33
2018-07-18,Fenway,485,1608,0,0,0.0,0.0,12.28,204,321.81,179.0,240.12,11.23
2018-07-18,Hyde Park,51,132,0,0,0.0,0.0,26.55,36,13.7,50.0,71.8,11.06
2018-07-18,Jamaica Plain,487,1655,0,0,0.0,0.0,33.38,336,7.13,115.0,144.87,6.36
2018-07-18,Leather District,8,23,0,0,0.0,0.0,10.75,7,0.97,184.5,195.75,7.12
2018-07-18,Longwood Medical Area,9,23,0,0,0.0,0.0,106.33,7,4.7,100.0,175.89,6.33
2018-07-18,Mattapan,55,161,0,0,0.0,0.0,29.93,26,8.98,63.0,69.93,10.27
2018-07-18,Mission Hill,211,771,0,0,0.0,0.0,12.9,100,301.06,130.0,169.75,8.71
2018-07-18,North End,223,927,0,0,0.0,0.0,61.05,123,0.83,155.0,178.07,4.92
2018-07-18,Roslindale,116,358,0,0,0.0,0.0,23.88,76,10.47,73.5,94.49,6.22
2018-07-18,Roxbury,308,968,0,0,0.0,0.0,30.87,154,4.84,79.0,118.85,8.43
2018-07-18,South Boston,311,1410,0,0,0.0,0.0,31.33,194,3.43,169.0,211.55,9.04
2018-07-18,South Boston Waterfront,45,133,0,0,0.0,0.0,23.11,38,1.98,175.0,305.58,5.76
2018-07-18,South End,395,1214,0,0,0.0,0.0,35.41,245,2.74,170.0,213.84,6.13
2018-07-18,West End,134,486,0,0,0.0,0.0,11.62,39,306.13,187.0,215.54,9.38
2018-07-18,West Roxbury,62,202,0,0,0.0,0.0,34.21,46,12.15,89.0,111.6,8.76
2018-08-17,Allston,377,1114,0,0,0.0,0.0,19.88,204,6.45,83.0,181.33,5.12
2018-08-17,Back Bay,455,1507,0,0,0.0,0.0,26.52,230,2.66,200.0,248.91,7.98
2018-08-17,Bay Village,26,103,0,0,0.0,0.0,46.58,21,1.49,175.0,235.58,3.81
2018-08-17,Beacon Hill,255,767,0,0,0.0,0.0,37.56,165,0.9,160.0,187.26,5.27
2018-08-17,Brighton,348,1024,0,0,0.0,0.0,25.61,226,8.12,88.0,122.07,5.37
2018-08-17,Charlestown,157,568,0,0,0.0,0.0,26.15,114,2.63,175.0,217.27,7.18
2018-08-17,Chinatown,145,569,0,0,0.0,0.0,11.98,32,2184.15,225.0,281.88,17.49
2018-08-17,Dorchester,479,1645,0,0,0.0,0.0,39.43,230,7.19,75.0,99.47,7.12
2018-08-17,Downtown,357,1365,0,0,0.0,0.0,27.69,152,2183.99,249.0,307.66,10.18
2018-08-17,East Boston,281,931,0,0,0.0,0.0,57.03,164,2.74,99.0,123.17,6.43
2018-08-17,Fenway,458,1531,0,0,0.0,0.0,13.86,189,302.84,188.5,250.47,12.12
2018-08-17,Hyde Park,56,156,0,0,0.0,0.0,26.05,40,14.9,57.5,77.61,9.36
2018-08-17,Jamaica Plain,486,1686,0,0,0.0,0.0,33.94,329,7.16,119.5,147.87,6.36
2018-08-17,Leather District,6,17,0,0,0.0,0.0,16.67,6,0.97,184.5,210.5,8.33
2018-08-17,Longwood Medical Area,9,23,0,0,0.0,0.0,109.78,7,4.7,100.0,175.89,5.56
2018-08-17,Mattapan,59,173,0,0,0.0,0.0,30.58,26,8.91,60.0,68.64,10.56
2018-08-17,Mission Hill,231,877,0,0,0.0,0.0,9.52,102,301.08,160.0,180.35,10.97
2018-08-17,North End,223,915,0,0,0.0,0.0,62.81,124,0.83,159.0,178.93,5.1
2018-08-17,Roslindale,113,343,0,0,0.0,0.0,24.73,74,10.53,70.0,91.18,6.6
2018-08-17,Roxbury,302,990,0,0,0.0,0.0,34.2,163,4.78,83.5,127.89,5.92
2018-08-17,South Boston,320,1442,0,0,0.0,0.0,31.51,195,3.44,174.0,216.66,8.18
2018-08-17,South Boston Waterfront,39,112,0,0,0.0,0.0,23.97,33,2.04,199.0,303.36,5.85
2018-08-17,South End,394,1215,0,0,0.0,0.0,37.15,240,2.71,170.0,215.37,6.34
2018-08-17,West End,132,480,0,0,0.0,0.0,12.56,37,306.13,189.0,217.07,10.19
2018-08-17,West Roxbury,60,200,0,0,0.0,0.0,37.15,45,12.15,90.0,115.35,7.43
2018-09-14,Allston,354,1060,0,0,0.0,0.0,21.06,189,6.46,85.0,143.28,5.52
2018-09-14,Back Bay,437,1465,0,0,0.0,0.0,24.48,217,2.7,220.0,258.3,7.5
2018-09-14,Bay Village,27,111,0,0,0.0,0.0,48.0,21,1.49,175.0,235.19,4.48
2018-09-14,Beacon Hill,244,752,0,0,0.0,0.0,38.94,156,0.89,160.0,193.27,4.99
2018-09-14,Brighton,317,898,0,0,0.0,0.0,26.37,208,8.08,89.0,122.71,6.35
2018-09-14,Charlestown,162,580,0,0,0.0,0.0,25.89,114,2.56,175.0,218.01,7.28
2018-09-14,Chinatown,144,564,0,0,0.0,0.0,13.03,36,2184.14,238.0,264.24,14.81
2018-09-14,Dorchester,453,1567,0,0,0.0,0.0,42.96,214,6.82,79.0,101.23,8.45
2018-09-14,Downtown,354,1352,0,0,0.0,0.0,28.86,147,2183.86,289.0,290.99,9.27
2018-09-14,East Boston,277,922,0,0,0.0,0.0,61.23,163,2.76,99.0,124.4,6.87
2018-09-14,Fenway,452,1538,0,0,0.0,0.0,14.59,176,312.71,199.0,227.58,12.41
2018-09-14,Hyde Park,64,174,0,0,0.0,0.0,25.17,42,14.9,57.5,76.89,9.59
2018-09-14,Jamaica Plain,485,1668,0,0,0.0,0.0,32.76,319,7.15,119.0,147.52,7.02
